DateTime,AddedIPs,RemovedIPs
1519223062,691,691
1519224022,595,595
1519225230,589,589
1519226189,608,608
1519227656,1237,1237
1519228595,661,661
1519229547,744,744
1519230492,645,645
1519231483,523,523
1519232668,752,752
1519233611,840,840
1519234581,570,570
1519235537,761,761
1519236767,777,777
1519237690,718,718
1519238654,556,556
1519239625,778,778
1519240847,972,972
1519241775,709,709
1519242742,702,702
1519243708,725,725
1519244918,776,776
1519245857,730,730
1519246820,765,765
1519247782,720,720
1519248743,700,700
1519249701,606,606
1519250660,2000,2000
1519251621,680,680
1519252847,782,782
1519253799,824,824
1519254738,809,809
1519255692,690,690
1519256920,880,880
1519258109,1025,1025
1519259061,747,747
1519260016,716,716
1519261227,820,820
1519262187,755,755
1519263141,785,785
1519264358,888,888
1519265294,691,691
1519266256,701,701
1519267219,484,484
1519268452,947,947
1519269376,762,762
1519270339,780,780
1519271294,710,710
1519272287,684,684
1519273217,728,728
1519274173,560,560
1519275153,763,763
1519276122,602,602
1519277057,1006,1006
1519278014,705,705
1519278970,652,652
1519280305,1003,1003
1519281381,627,627
1519282342,1259,1259
1519283303,376,376
1519284496,1174,1174
1519285467,640,640
1519286425,634,634
1519287644,888,888
1519288574,626,626
1519289544,735,735
1519290504,504,504
1519291719,1006,1006
1519292659,553,553
1519293647,721,721
1519294580,553,553
1519295548,731,731
1519296498,539,539
1519297487,512,512
1519298411,821,821
